alpha,mean_chunks,MMR,SNU,ICE,Coverage,P@5,nDCG@5,alpha_nDCG@5,Cov@5
0.0,1.0,0.06,0.14333333333333337,0.14333333333333337,0.14333333333333337,0.14,0.2374,0.1808,0.1476
0.1,1.3,0.13000000000000003,0.21333333333333332,0.21333333333333332,0.21333333333333332,0.39,0.5324,0.3998,0.3593
0.2,1.2,0.13000000000000003,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.5,0.622,0.4299,0.401
0.3,1.2,0.13000000000000003,0.2066666666666667,0.2066666666666667,0.2066666666666667,0.56,0.6701,0.4485,0.4243
0.4,1.7,0.16000000000000006,0.25000000000000006,0.2313333333333334,0.26333333333333336,0.69,0.7678,0.5121,0.4743
0.5,2.15,0.22000000000000003,0.2166666666666667,0.19222222222222227,0.24,0.81,0.8622,0.5505,0.5152
0.6,2.6,0.3100000000000001,0.25000000000000006,0.21833333333333332,0.29333333333333333,0.86,0.8954,0.5583,0.5221
0.7,3.4,0.3500000000000001,0.24333333333333335,0.18583333333333335,0.3233333333333333,0.91,0.9285,0.5602,0.5362
0.8,5.15,0.49000000000000005,0.2066666666666667,0.14636507936507936,0.4666666666666667,0.92,0.9339,0.5391,0.5362
0.9,9.85,0.8300000000000001,-0.19666666666666666,0.07323195644934775,0.6,0.92,0.9392,0.5359,0.5362
1.0,38.6,1.0,-3.8333333333333335,0.016692443187755635,0.96,0.95,0.9604,0.5617,0.5362
